branch,p_value,rank,(I/m)Q,significant
tcp,0.000368,1,0.0002347417840375587,False
uv,0.001712,2,0.0004694835680751174,False
tr,0.003467,3,0.0007042253521126761,False
dd1,0.006855,4,0.0009389671361502348,False
ttcc,0.014388,5,0.0011737089201877935,False
pp6,0.021824,6,0.0014084507042253522,False
pp16,0.023831,7,0.001643192488262911,False
pp13,0.029321,8,0.0018779342723004697,False
sca,0.029419,9,0.0021126760563380284,False
dm,0.035266,10,0.002347417840375587,False
pt,0.035429,11,0.002582159624413146,False
gm1,0.045877,12,0.0028169014084507044,False
